publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-06T11:08:37Z,Bowo Rumekso,Survey versi tim sukses 😂😂,0
2023-05-06T11:04:08Z,basori adi,"Pola Pilkada DKI sedang berjalan reborn. Semoga Allah swt melindungi beliau dari kejahatan tangan2 kotor bayaran, hamba2 iblis yang anti kebenaran.",0
2023-05-06T10:58:23Z,alam ghoib,Ganjar mantap,0
2023-05-06T10:56:22Z,Muhammad Reza afandy,prabowo maju terus. insyaallah kami sekeluarga akan mendukung,0
2023-05-06T10:48:08Z,hadir slalu,Sukses slalu pak Ganjar Pranowo 👍,1
2023-05-06T10:32:15Z,Olhex Odhex,Anies tetap di hati,0
2023-05-06T10:24:32Z,Sofyrizal 007,"Survey sekarang masyarakat udah tak open lagi karena bisa dibeli, he, he, wsdlm",0
2023-05-06T10:20:52Z,Syahwan Rama,Ko Anis gak maik2 sih <br>Kan sudah pke tenaga Surya,0
2023-05-06T10:17:06Z,Hermawan Salim,"UMAT KRISTEN AKAN MEMILIH CAPRES YG MAU MENCABUT SKB 3 MENTERI.<br>DENGAN SYARAT HITAM DI ATAS PUTIH, DI SAKSIKAN OLEH PARA PENDETA INDONESIA.<br>SELURUH SUARA UMAT KRISTEN 30% DARI JUMLAH PENDUDUK INDONESIA.<br>CUKUP BANYAK, CAPRES YG BERMINAT SILAKAN MERAPAT KE PSI.",1
2023-05-06T10:14:14Z,Herjianto Media,Cuma bisnis politik doang kalau masih ada threshold 20 persen,0
2023-05-06T10:09:38Z,Sri ningsih Sei ayu,Semngat pokonya BPK Ganjar Pranowo RI 1 lajutkn kerja BPK persiden Jokowi,1
2023-05-06T09:55:01Z,alghazjatta radeya,"Silahkan bebas tinggiin survey sendiri, aq sih ga percaya survey",0
2023-05-06T09:26:47Z,Nafeeza Nafeeza,Pak anies baswedan mantap,0
2023-05-06T09:17:27Z,smantv,"Lembaga survey misal data yang masuk 100 untuk calon A, tpi yg diinputkan 10 misalnya, indikatornya apa ya? Kan hanya independensi dan moralitas saja yg bisa mencegah. Siapa yg bisa mencegah kejadian itu!?",1
2023-05-06T09:15:51Z,eko yuwono,GANJAR TETEAP TERDEPAN...YANG LAIN KETINGGALAN...!!!,1
2023-05-06T09:13:59Z,Cipto Parmono,"HANYA. BP.PRABOWO SUBIANTO, YANG SIAP MENGAYOMI RAKYAT. DEMI KEMAKMURAN. PRESIDEN RI .TH.2024.",0
2023-05-06T09:11:50Z,One Heart,"1 putaran aj,,, kebanyakan biaya kalo 2putaran😂😂😂",0
